"Story","Title","Result","Date","Stability","Duration (s)"
"User curd test","Get all user data","SUCCESS","2023-08-08T20:12:38.714+01:00[Europe/London]","0.0","5.39"
"User curd test","Create user","SUCCESS","2023-08-08T20:12:44.140+01:00[Europe/London]","0.0","1.15"
